color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,calogero3009,PS4,calogero3009,403,Dominus,337,200,0,0,0,1,3,1,0,0,304,47.51,1614,1054,560,12,50,671,379,292,5,26,40.43,42.76,218,167,136,1392,446378,190.72,56.58,111.17,32.98,35.2,10.44,222.78,66.09,112.91,33.5,1.4,0.42,8.57,0.17,50,175.3,163.2,2258,2197,2340,3062,253.99,75.35,83.1,24.65,177.7,52.72,159.39,47.28,133.87,39.71,98.13,29.11,105.09,31.18,0,0,gold
orange,Dr.At0mic 0,Epic,099fc10a5856425981553c1894155854,4284,Fennec,337,593,1,0,4,3,5,2,2,33.33,377,55.64,2120,1768,352,22,31,373,289,84,4,8,35.7,50.1,310,374,115,1309,418187,198.79,59.38,114.12,34.09,21.88,6.54,190.15,56.8,138.15,41.26,6.49,1.94,5.3,0.23,23,330,330.2,1638,1298,1889,3229,258.79,77.3,75.99,22.7,220.62,65.9,114.17,34.1,184.49,55.11,61.06,18.24,89.24,26.66,0,0,gold
orange,DR.J,Psynet,24dc0f85ad08b1bb,403,Dominus,337,0,0,0,0,0,5,2,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,100,0,0,0,0,33.48,100,0,0,0,0,0,0,0,33.4,0,4982,7397,3700,3229,33.48,100,0,0,33.48,100,0,0,33.48,100,0,0,0,0,0,0,gold
blue,tashyaran,Epic,59d7142f063a4a89a17587aa81b73b7c,23,Octane,351,442,2,0,2,3,4,2,2,66.67,300,43.36,1586,1179,407,13,36,294,176,118,2,11,35.39,40.9,201,127,23,1271,413093,220.52,62.76,105.26,29.96,25.57,7.28,221.21,62.96,122.9,34.98,7.24,2.06,14.79,0.35,42,189,147.8,2274,2409,2148,2626,257.42,73.27,93.92,26.73,240.7,68.51,110.65,31.49,190.61,54.25,105.67,30.08,55.06,15.67,3,0,gold
blue,Veldra667,XBox,c2ffcea1fb010900,23,Octane,351,318,1,1,0,3,4,2,0,33.33,267,59.79,1770,1370,400,18,39,513,395,118,6,11,19.27,68.15,118,479,211,1322,432318,203.01,57.77,127.19,36.19,21.21,6.04,194.84,55.44,142.33,40.5,14.26,4.06,3.17,0.26,12,152.1,189.7,2094,1985,2177,2626,242.1,68.89,109.32,31.11,230.86,65.69,120.56,34.31,178.52,50.8,96.79,27.54,76.11,21.66,0,0,gold
orange,BoxedBy_Colacao,PS4,BoxedBy_Colacao,23,Octane,351,390,2,0,0,2,6,3,1,100,267,53.92,1641,1314,327,16,29,323,251,72,3,7,52.17,39.49,199,298,54,1284,412248,224.88,64.58,104.21,29.93,19.13,5.49,209.94,60.29,129.15,37.09,9.13,2.62,3.29,0.25,13,162.2,181.5,2335,2180,2503,2677,256.7,73.72,91.52,26.28,209.48,60.16,138.74,39.84,144.97,41.63,118.08,33.91,85.17,24.46,0,1,gold
orange,eikofr,Steam,76561198341973113,4284,Fennec,351,150,0,1,0,2,6,3,2,0,178,49.4,1141,616,525,9,45,214,0,214,0,18,23.34,54.01,53,299,1,1194,382407,243.55,70.72,91.19,26.48,9.66,2.8,235.59,68.4,104.34,30.3,4.48,1.3,6.65,0.33,20,188.3,155.4,2357,2531,2200,2677,259.9,75.46,84.5,24.54,204.61,59.41,139.79,40.59,147.5,42.83,123.88,35.97,73.02,21.2,0,2,gold
blue,eikofr,Steam,76561198341973113,4284,Fennec,378,414,2,0,0,3,8,4,3,66.67,179,51.97,1153,693,460,8,41,157,0,157,0,15,42.31,41.58,64,120,8,1289,443743,247.59,65.97,116.92,31.16,10.77,2.87,247.47,65.94,122.1,32.54,5.71,1.52,5.07,0.3,17,222.4,145.9,2223,2161,2274,2427,269.73,71.87,105.55,28.13,224.54,59.83,150.74,40.17,157,41.84,145.58,38.79,72.7,19.37,2,1,gold
blue,astrofrite0202,PS4,astrofrite0202,23,Octane,378,317,1,0,1,2,8,4,1,50,394,45.15,2474,2024,450,24,39,671,494,177,6,15,47.36,41.08,776,375,105,1420,478379,196.93,53.87,128.31,35.1,40.35,11.04,256.03,70.03,93.79,25.65,15.78,4.32,3.41,0.23,15,139.9,221.2,1811,1735,1857,2427,240.29,65.72,125.31,34.28,203.93,55.78,161.67,44.22,145.9,39.91,112.78,30.85,106.91,29.24,1,3,gold
orange,TAMYSDL-G,PS4,TAMYSDL-G,4284,Fennec,378,701,4,0,0,7,5,3,1,57.14,272,55.72,1945,1560,385,20,35,516,384,132,5,12,32.43,56.89,353,457,115,1355,461384,213.06,57.42,130.29,35.11,27.71,7.47,241.6,65.11,123.34,33.24,6.13,1.65,0,0,0,193.3,168.6,2108,1717,2564,2687,270.79,72.98,100.27,27.02,250.04,67.38,121.03,32.62,191.37,51.57,92.69,24.98,87,23.45,0,2,gold
orange,adrien_hingant,PS4,adrien_hingant,23,Octane,378,348,0,2,1,1,5,3,2,0,340,45.26,1836,1442,394,16,34,71,0,71,0,6,30.79,49.74,36,163,0,1396,479978,210.33,56.16,134.8,35.99,29.38,7.84,206.75,55.21,155.91,41.63,11.85,3.16,0.3,0.06,5,173.3,188.7,2023,2025,2020,2687,278.81,74.45,95.69,25.55,247.79,66.16,126.72,33.84,179.54,47.94,125.4,33.48,69.56,18.57,4,1,gold
blue,complexit 4usion,Epic,75f3455f2cae4d6ba27e4b0bfe80e34f,23,Octane,328,290,0,0,2,3,7,2,1,0,379,46.57,1993,1490,503,18,43,312,84,228,1,19,50.32,34.34,475,200,0,1530,483816,137.51,41.83,149.01,45.33,42.21,12.84,193.81,58.96,122.29,37.2,12.62,3.84,0,0,0,129.7,197.8,1891,1280,2239,2840,221.28,67.32,107.44,32.68,204.69,62.27,124.03,37.73,145.88,44.38,112.74,34.3,70.1,21.33,2,0,gold
blue,Shark_Crazy12,PS4,Shark_Crazy12,4284,Fennec,328,287,0,0,2,4,7,2,1,0,272,44.08,1371,805,566,9,48,405,287,118,3,10,31.68,22.99,273,99,12,1304,404515,211.57,64.6,86.04,26.27,29.92,9.14,222,67.78,102.11,31.18,3.42,1.04,6.54,0.19,35,197.4,129.5,2745,2184,2925,2840,237.62,72.55,89.91,27.45,226.02,69.01,101.51,30.99,187.05,57.11,85.59,26.13,54.89,16.76,0,0,gold
orange,Natedaddy3000,PS4,Natedaddy3000,23,Octane,328,601,2,0,3,5,7,0,0,40,271,65.07,1515,1170,345,20,31,249,120,129,2,12,5.45,48.95,141,836,80,1442,456798,160.6,48.85,140.57,42.76,27.56,8.38,208.91,63.55,115.21,35.05,4.61,1.4,5.95,0.08,71,183.8,144.6,2558,2398,2686,2852,256.15,77.92,72.57,22.08,197.59,60.11,131.14,39.89,148.47,45.16,101.59,30.9,78.67,23.93,0,0,gold
orange,TiktokremyCryzZ,PS4,TiktokremyCryzZ,4284,Fennec,328,252,0,0,2,2,7,0,0,0,271,52.55,1391,984,407,12,35,479,303,176,4,15,36.71,47.79,321,228,99,1322,409102,196.24,60.83,108.3,33.57,18.06,5.6,203.87,63.2,115.38,35.77,3.34,1.04,3.5,0.44,8,145,178.5,2415,2307,2706,2852,224.28,69.52,98.31,30.48,168.47,52.22,154.13,47.78,118.42,36.71,103.64,32.13,100.53,31.16,0,2,gold
blue,IronMan34000,Epic,c0eec782d40a4aa0ad4d322df3036fb4,4284,Fennec,140,64,0,0,0,1,4,4,2,0,251,49.68,622,430,192,6,16,139,91,48,1,4,16.86,19.92,12,169,8,1272,147006,85.69,63.54,43.69,32.39,5.49,4.07,94.3,69.92,40.57,30.08,0,0,1.14,0.28,4,60.1,64.6,2473,2146,2604,2664,99.29,73.62,35.58,26.38,99.26,73.6,35.61,26.4,85.35,63.28,24.8,18.39,24.72,18.33,0,1,gold
blue,eikofr,Steam,76561198341973113,4284,Fennec,140,20,0,0,0,1,4,4,2,0,168,47.99,450,227,223,3,19,83,0,83,0,7,10.83,16.26,92,76,0,1195,148180,106.73,76.33,27.66,19.78,5.43,3.88,109.84,78.56,29.07,20.79,0.91,0.65,1.78,0.45,4,68.6,61.3,2272,2150,2387,2664,89.21,63.8,50.61,36.2,99.91,71.46,39.91,28.54,66.78,47.76,50.53,36.14,22.5,16.09,0,0,gold
orange,Kakashi_2801,PS4,Kakashi_2801,4284,Fennec,140,451,3,1,0,3,2,0,0,100,337,55.48,727,595,132,8,12,172,160,12,2,1,4.13,22.66,112,209,40,1401,174606,81.39,58.18,43.08,30.8,15.42,11.02,83.7,59.83,48.92,34.97,7.27,5.2,1.77,0.25,7,67.7,57,2618,2400,3151,3955,112.06,80.11,27.83,19.89,95.05,67.95,44.84,32.05,73.95,52.86,38.61,27.6,27.33,19.54,1,0,gold
orange,Sp3ct_0,PS4,Sp3ct_0,4284,Fennec,140,218,1,0,1,1,2,0,0,100,327,57.08,759,539,220,7,21,263,156,107,2,9,14.25,11.4,71,177,43,1386,173692,74.2,53.06,54.55,39.01,11.1,7.94,92.85,66.39,47.01,33.61,0,0,2.32,0.46,5,57.2,67.9,3179,3124,3134,3955,101.06,72.26,38.79,27.74,82.75,59.17,57.11,40.83,58.82,42.06,48.39,34.6,32.64,23.34,0,0,gold
blue,eikofr,Steam,76561198341973113,4284,Fennec,351,643,4,0,1,4,6,2,0,100,158,57.56,955,523,432,7,38,160,65,95,1,8,12.34,71.72,102,195,35,1255,403900,247.04,70.38,96.83,27.59,7.14,2.03,249.06,70.96,96.98,27.63,4.97,1.42,3.94,0.28,14,165.8,164,2397,2200,2601,2556,259.84,74.03,91.17,25.97,197.51,56.27,153.5,43.73,140.28,39.97,142.04,40.47,68.68,19.57,1,0,gold
blue,TymuR-.;Epic;13d671d0978240e6af454d97aec6216b;10805,TymuR-.,Epic,13d671d0978240e6af454d97aec6216b,10805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
orange,Albertomende,PS4,Albertomende,4284,Fennec,351,479,2,0,1,2,5,5,2,100,364,45.53,1989,1574,415,18,37,339,236,103,3,10,70.85,26.33,231,225,63,1406,455771,185.01,52.7,127.26,36.25,38.78,11.05,164.46,46.85,168.96,48.13,17.63,5.02,3.11,0.16,19,142.9,191.7,2208,2113,2298,3228,219.83,62.62,131.22,37.38,217.72,62.02,133.33,37.98,163.02,46.44,105.11,29.94,82.92,23.62,0,0,gold
orange,mouton_Torres,PS4,mouton_Torres,23,Octane,351,124,0,0,0,4,5,5,3,0,241,54.43,1495,1206,289,14,27,240,164,76,2,7,27.26,56.38,154,206,42,1326,421804,205.9,59.31,118.37,34.1,22.9,6.6,199.86,57.57,137.45,39.59,9.86,2.84,3.54,0.32,11,197.2,138,2982,2882,3055,3228,243.77,70.22,103.4,29.78,242.72,69.91,104.46,30.09,178.63,51.45,103.31,29.76,65.24,18.79,0,1,gold
blue,Y_H5903,Epic,a1487d66a77241ceb804d3d2f220ba8b,4284,Fennec,357,494,2,0,0,2,4,3,1,100,443,56.83,2427,2063,364,26,32,1124,957,167,11,14,33.8,60.09,417,555,143,1439,481695,178.57,50.02,155.51,43.56,22.91,6.42,227.8,63.81,111.69,31.29,17.49,4.9,2.8,0.16,17,160.2,190,1747,1700,1822,2962,266.27,74.59,90.72,25.41,189.17,52.99,167.82,47.01,136.8,38.32,103.51,29,116.68,32.68,2,0,gold
blue,Dr.At0mic 0,Epic,099fc10a5856425981553c1894155854,4284,Fennec,357,176,0,0,0,2,4,3,2,0,268,49.71,1547,1142,405,14,37,188,96,92,1,8,24.93,68.52,53,264,3,1297,420695,215.12,61,124.47,35.29,13.09,3.71,243.8,69.13,97.89,27.76,10.99,3.12,5.43,0.21,26,193.7,149.8,2706,2500,3019,2962,260.19,73.78,92.49,26.22,226.4,64.19,126.28,35.81,174.01,49.34,102.65,29.1,76.03,21.56,0,1,gold
orange,Jterz Il,XBox,59c9ea61f6010900,4284,Fennec,357,638,2,1,2,3,4,2,0,66.67,315,59.98,1783,1443,340,16,32,144,65,79,1,7,16.7,53.23,147,175,34,1329,410025,207.32,58.57,125.56,35.47,21.11,5.96,228.15,64.45,124.66,35.22,1.17,0.33,7,0.47,15,188.1,157.7,2676,1994,3227,3419,272.26,76.91,81.72,23.09,273.19,77.18,80.79,22.82,226.99,64.13,79.77,22.54,47.22,13.34,0,1,gold
orange,biopelican789,XBox,0963f342f0010900,25,Road Hog,357,224,1,0,0,1,4,2,2,100,349,41.51,1933,1345,588,15,46,283,100,183,1,11,57.62,35.5,480,154,0,1410,465825,180.52,51,143.21,40.46,30.23,8.54,239.92,67.78,110.95,31.34,3.1,0.88,4.3,0.16,27,173.1,188.5,2541,2472,2558,3419,256.19,72.38,97.77,27.62,255.77,72.26,98.19,27.74,189.27,53.47,113.51,32.07,51.18,14.46,1,1,gold
